Temperature[C],Humidity[%],Pressure[hPa],CO(V),Fire Alarm
23.404,56.0,939.803,0.573,0
23.414,56.17,939.794,0.407,0
23.425,56.27,939.806,0.747,0
23.435,56.37,939.799,0.632,0
23.445,56.48,939.803,0.901,0
23.455,56.57,939.793,0.274,0
23.466,56.66,939.783,0.004,0
23.476,56.77,939.784,0.095,0
23.486,56.81,939.773,0.564,0
23.496,56.85,939.767,0.685,0
23.506,57.1,939.781,0.583,0
23.516,56.91,939.784,0.584,0
23.526,56.32,939.781,0.853,0
23.537,55.64,939.779,0.578,0
23.547,54.43,939.785,0.856,0
23.557,53.91,939.773,0.831,0
23.567,53.4,939.774,0.693,0
23.577,52.96,939.773,0.631,0
23.587,52.56,939.786,0.682,0
23.597,52.25,939.795,0.123,0
23.607,51.91,939.795,0.742,0
23.617,51.63,939.806,0.265,0
23.627,51.38,939.799,0.602,0
23.637,51.16,939.785,0.852,0
23.646,50.96,939.79,0.477,0
23.656,50.8,939.784,0.376,0
23.666,50.63,939.787,0.559,0
23.676,50.51,939.789,0.757,0
23.686,50.4,939.793,0.863,0
23.696,50.17,939.788,0.693,0
23.706,50.08,939.785,0.957,0
23.716,49.88,939.791,0.594,0
23.725,49.81,939.802,0.8,0
23.735,49.74,939.794,0.212,0
23.745,49.67,939.806,0.033,0
23.755,49.61,939.798,0.507,0
23.764,49.54,939.784,0.322,0
23.774,49.35,939.782,0.36,0
23.784,49.59,939.784,0.332,0
23.793,50.13,939.781,0.635,0
23.803,50.75,939.772,0.369,0
23.813,51.3,939.786,0.309,0
23.822,51.89,939.781,0.775,0
23.832,52.39,939.779,0.295,0
23.842,52.85,939.787,0.938,0
23.851,53.25,939.787,0.624,0
23.861,53.66,939.79,0.784,0
23.87,53.99,939.781,0.514,0
23.88,54.3,939.782,0.579,0
23.89,54.58,939.782,0.156,0
23.899,54.85,939.795,0.121,0
23.909,55.04,939.786,0.846,0
23.918,55.25,939.787,0.23,0
23.928,55.5,939.784,0.606,0
23.937,55.71,939.795,0.842,0
23.946,55.83,939.784,0.118,0
23.956,55.98,939.794,0.009,0
23.965,56.13,939.79,0.478,0
23.975,56.23,939.791,0.439,0
23.984,56.37,939.791,0.503,0
23.993,56.47,939.803,0.341,0
24.003,56.57,939.81,0.972,0
24.012,56.66,939.809,0.832,0
24.021,56.76,939.808,0.775,0
24.031,56.83,939.805,0.059,0
24.04,56.9,939.805,0.987,0
24.049,56.96,939.813,0.215,0
24.059,57.2,939.814,0.96,0
24.068,56.96,939.808,0.462,0
24.077,56.37,939.816,0.264,0
24.086,55.13,939.813,0.332,0
24.095,54.47,939.812,0.615,0
24.105,53.94,939.804,0.71,0
24.114,53.43,939.81,0.374,0
24.123,53.03,939.82,0.636,0
24.132,52.6,939.825,0.025,0
24.141,52.25,939.822,0.286,0
24.15,51.92,939.825,0.194,0
24.159,51.65,939.825,0.917,0
24.169,51.26,939.824,0.513,0
24.178,51.06,939.821,0.49,0
24.187,50.88,939.827,0.421,0
24.196,50.74,939.823,0.15,0
24.205,50.58,939.818,0.729,0
24.214,50.41,939.803,0.007,0
24.223,50.31,939.799,0.106,0
24.232,50.21,939.795,0.776,0
24.241,50.08,939.805,0.63,0
24.25,50.0,939.801,0.677,0
24.259,49.86,939.805,0.191,0
24.267,49.84,939.796,0.566,0
24.276,49.76,939.796,0.993,0
24.285,49.7,939.794,0.398,0
24.294,49.62,939.796,0.055,0
24.303,49.56,939.801,0.839,0
24.312,49.41,939.801,0.055,0
24.321,49.61,939.793,0.405,0
24.329,50.14,939.803,0.98,0
24.338,50.76,939.807,0.966,0
24.347,51.4,939.806,0.614,0
24.356,52.37,939.809,0.393,0
24.365,52.86,939.809,0.748,0
24.373,53.27,939.813,0.279,0
24.382,53.64,939.82,0.019,0
24.391,54.0,939.815,0.587,0
24.399,54.34,939.815,0.997,0
24.408,54.6,939.811,0.945,0
24.417,54.81,939.82,0.232,0
24.425,55.06,939.811,0.54,0
24.434,55.27,939.806,0.052,0
24.443,55.52,939.822,0.874,0
24.451,55.67,939.839,0.901,0
24.46,55.85,939.848,0.31,0
24.468,55.98,939.843,0.748,0
24.477,56.15,939.85,0.955,0
24.485,56.23,939.842,0.879,0
24.494,56.36,939.848,0.924,0
24.503,56.46,939.849,0.379,0
24.511,56.57,939.841,0.456,0
24.52,56.67,939.843,0.829,0
24.528,56.75,939.839,0.74,0
24.536,56.82,939.847,0.159,0
24.545,56.9,939.85,0.368,0
24.553,56.97,939.842,0.531,0
24.562,57.22,939.844,0.396,0
24.57,56.97,939.846,0.167,0
24.578,56.35,939.843,0.592,0
24.587,55.68,939.843,0.862,0
24.595,55.0,939.847,0.279,0
24.604,54.41,939.846,0.119,0
24.612,53.86,939.851,0.878,0
24.62,53.34,939.837,0.551,0
24.628,52.92,939.826,0.399,0
24.637,52.55,939.836,0.236,0
24.645,52.17,939.832,0.863,0
24.653,51.9,939.831,0.615,0
24.661,51.64,939.838,0.243,0
24.67,51.38,939.837,0.773,0
24.678,51.15,939.825,0.623,0
24.686,50.98,939.834,0.622,0
24.694,50.83,939.838,0.953,0
24.702,50.65,939.83,0.185,0
24.71,50.49,939.833,0.576,0
24.719,50.37,939.833,0.328,0
24.727,50.24,939.83,0.443,0
24.735,50.13,939.83,0.08,0
24.743,50.05,939.827,0.625,0
24.751,49.98,939.834,0.191,0
24.759,49.9,939.829,0.126,0
24.767,49.82,939.822,0.114,0
24.775,49.73,939.827,0.777,0
24.783,49.67,939.829,0.789,0
24.791,49.59,939.836,0.184,0
24.799,49.53,939.838,0.821,0
24.807,49.37,939.842,0.257,0
24.815,49.64,939.842,0.2,0
24.823,50.15,939.839,0.263,0
24.831,50.81,939.844,0.599,0
24.839,51.38,939.837,0.194,0
24.847,51.89,939.852,0.681,0
24.854,52.44,939.844,0.467,0
24.862,52.9,939.848,0.332,0
24.87,53.26,939.84,0.98,0
24.878,53.68,939.834,0.934,0
24.886,54.05,939.819,0.69,0
24.894,54.33,939.827,0.115,0
24.901,54.6,939.831,0.505,0
24.909,54.84,939.831,0.849,0
24.917,55.1,939.84,0.087,0
24.925,55.32,939.836,0.358,0
24.932,55.48,939.842,0.946,0
24.94,55.67,939.85,0.87,0
24.948,55.85,939.832,0.351,0
24.956,56.0,939.83,0.017,0
24.963,56.15,939.835,0.517,0
24.971,56.29,939.842,0.843,0
24.979,56.38,939.839,0.598,0
24.986,56.46,939.824,0.878,0
24.994,56.61,939.83,0.766,0
25.001,56.66,939.834,0.03,0
25.009,56.76,939.815,0.382,0
25.016,56.85,939.818,0.082,0
25.024,56.91,939.824,0.629,0
25.032,57.0,939.841,0.722,0
25.039,57.22,939.833,0.572,0
25.047,56.93,939.818,0.826,0
25.054,55.72,939.821,0.643,0
25.062,55.07,939.817,0.434,0
25.069,54.47,939.818,0.967,0
25.077,53.91,939.841,0.986,0
25.084,53.42,939.839,0.515,0
25.091,52.94,939.843,0.176,0
25.099,52.56,939.835,0.474,0
25.106,52.26,939.829,0.715,0
25.114,51.95,939.829,0.219,0
25.121,51.68,939.82,0.025,0
25.128,51.44,939.817,0.268,0
25.136,51.23,939.818,0.079,0
25.143,51.03,939.835,0.334,0
25.15,50.85,939.838,0.867,0
25.158,50.57,939.824,0.753,0
25.165,50.45,939.827,0.964,0
25.172,50.31,939.831,0.283,0
25.179,50.19,939.834,0.143,0
25.187,50.11,939.834,0.163,0
25.194,50.02,939.828,0.683,0
25.201,49.93,939.828,0.537,0
25.208,49.84,939.83,0.037,0
25.215,49.77,939.825,0.342,0
25.223,49.64,939.812,0.968,0
25.23,49.62,939.827,0.298,0
25.237,49.44,939.826,0.075,0
25.244,49.74,939.843,0.546,0
25.251,50.26,939.841,0.895,0
25.258,50.89,939.83,0.118,0
25.265,51.46,939.835,0.107,0
25.272,51.99,939.828,0.045,0
25.279,52.52,939.834,0.379,0
25.286,52.98,939.83,0.356,0
25.293,53.44,939.814,0.758,0
25.3,53.81,939.821,0.856,0
25.307,54.17,939.817,0.29,0
25.314,54.46,939.817,0.45,0
25.321,54.76,939.815,0.288,0
25.328,55.01,939.815,0.972,0
25.335,55.23,939.835,0.033,0
25.342,55.45,939.831,0.58,0
25.349,55.66,939.829,0.515,0
25.356,55.86,939.826,0.673,0
25.363,56.01,939.835,0.707,0
25.37,56.16,939.844,0.002,0
25.376,56.28,939.837,0.25,0
25.383,56.42,939.842,0.822,0
25.39,56.56,939.845,0.076,0
25.397,56.64,939.838,0.95,0
25.404,56.76,939.827,0.147,0
25.41,56.86,939.816,0.872,0
25.417,56.96,939.823,0.403,0
25.424,57.01,939.824,0.354,0
25.431,57.09,939.823,0.834,0
25.437,57.14,939.827,0.068,0
25.444,57.39,939.829,0.068,0
25.451,57.16,939.828,0.352,0
25.457,56.51,939.827,0.389,0
25.464,55.84,939.831,0.841,0
25.471,55.2,939.825,0.702,0
25.477,54.57,939.83,0.446,0
25.484,54.0,939.825,0.53,0
25.491,53.51,939.816,0.186,0
25.497,53.1,939.817,0.782,0
25.504,52.7,939.82,0.051,0
25.51,52.38,939.829,0.141,0
25.517,52.07,939.85,0.755,0
25.523,51.83,939.852,0.717,0
25.53,51.57,939.847,0.212,0
25.536,51.35,939.842,0.738,0
25.543,51.18,939.832,0.676,0
25.549,51.01,939.838,0.623,0
25.556,50.86,939.832,0.725,0
25.562,50.68,939.829,0.183,0
25.569,50.59,939.833,0.711,0
25.575,50.49,939.825,0.903,0
25.582,50.39,939.818,0.576,0
25.588,50.23,939.821,0.584,0
25.594,50.15,939.821,0.172,0
25.601,50.12,939.812,0.218,0
25.607,50.0,939.817,0.521,0
25.613,49.98,939.809,0.27,0
25.62,49.89,939.804,0.258,0
25.626,49.81,939.808,0.443,0
25.632,49.74,939.816,0.254,0
25.639,49.6,939.819,0.986,0
25.645,49.86,939.824,0.051,0
25.651,50.41,939.823,0.792,0
25.657,51.04,939.82,0.051,0
25.664,51.64,939.824,0.251,0
25.67,52.17,939.823,0.927,0
25.676,52.71,939.816,0.74,0
25.682,53.2,939.824,0.623,0
25.688,53.6,939.836,0.334,0
25.694,53.98,939.83,0.483,0
25.701,54.32,939.833,0.486,0
25.707,54.64,939.827,0.758,0
25.713,54.91,939.829,0.354,0
25.719,55.54,939.828,0.785,0
25.725,55.77,939.832,0.544,0
25.731,55.97,939.838,0.609,0
25.737,56.11,939.835,0.949,0
25.743,56.24,939.835,0.859,0
25.749,56.39,939.835,0.305,0
25.755,56.55,939.835,0.66,0
25.761,56.65,939.835,0.351,0
25.767,56.75,939.835,0.381,0
25.773,56.93,939.825,0.291,0
25.779,57.02,939.832,0.969,0
25.785,57.24,939.828,0.434,0
25.791,57.44,939.83,0.328,0
25.797,57.21,939.839,0.697,0
25.803,56.63,939.839,0.948,0
25.809,55.88,939.83,0.957,0
25.815,55.23,939.83,0.976,0
25.82,54.63,939.838,0.801,0
25.826,54.06,939.844,0.018,0
25.832,53.56,939.843,0.416,0
25.838,53.13,939.832,0.918,0
25.844,52.74,939.839,0.871,0
25.85,52.4,939.832,0.573,0
25.855,52.13,939.831,0.395,0
25.861,51.84,939.827,0.27,0
25.867,51.64,939.827,0.845,0
25.873,51.42,939.843,0.961,0
25.878,51.06,939.837,0.02,0
25.884,50.93,939.833,0.205,0
25.89,50.78,939.823,0.594,0
25.895,50.63,939.825,0.142,0
25.901,50.5,939.824,0.434,0
25.907,50.43,939.825,0.004,0
25.912,50.36,939.838,0.988,0
25.918,50.25,939.834,0.718,0
25.923,50.14,939.831,0.572,0
25.929,50.07,939.839,0.13,0
25.935,50.0,939.833,0.196,0
25.94,49.94,939.835,0.144,0
25.946,49.85,939.834,0.82,0
25.951,49.83,939.824,0.351,0
25.957,50.37,939.818,0.375,0
25.962,50.95,939.828,0.731,0
25.968,51.57,939.836,0.316,0
25.973,52.62,939.856,0.4,0
25.979,53.08,939.85,0.934,0
25.984,53.51,939.845,0.006,0
25.99,53.94,939.842,0.55,0
25.995,54.57,939.842,0.018,0
26.001,54.85,939.843,0.281,0
26.006,55.12,939.828,0.343,0
26.011,55.39,939.832,0.169,0
26.017,55.63,939.836,0.966,0
26.022,55.81,939.837,0.403,0
26.027,56.03,939.838,0.252,0
26.033,56.16,939.836,0.528,0
26.038,56.36,939.844,0.649,0
26.043,56.49,939.845,0.958,0
26.049,56.61,939.841,0.269,0
26.054,56.7,939.84,0.63,0
26.059,56.83,939.839,0.126,0
26.064,56.95,939.839,0.821,0
26.07,57.04,939.847,0.308,0
26.075,57.15,939.838,0.802,0
26.08,57.23,939.845,0.96,0
26.085,57.28,939.838,0.336,0
26.09,57.35,939.841,0.952,0
26.096,57.59,939.851,0.654,0
26.101,57.34,939.856,0.414,0
26.106,56.7,939.861,0.294,0
26.111,56.01,939.856,0.304,0
26.116,55.31,939.852,0.789,0
26.121,54.71,939.848,0.491,0
26.126,54.18,939.836,0.434,0
26.131,53.71,939.833,0.984,0
26.137,53.23,939.844,0.798,0
26.142,52.85,939.839,0.831,0
26.147,52.5,939.834,0.499,0
26.152,52.18,939.831,0.503,0
26.157,51.97,939.841,0.087,0
26.162,51.72,939.838,0.021,0
26.167,51.48,939.844,0.28,0
26.172,51.33,939.835,0.92,0
26.176,51.17,939.835,0.931,0
26.181,51.04,939.821,0.228,0
26.186,50.86,939.805,0.833,0
26.191,50.71,939.809,0.987,0
26.196,50.59,939.81,0.211,0
26.201,50.52,939.813,0.228,0
26.206,50.41,939.819,0.59,0
26.211,50.32,939.813,0.247,0
26.216,50.28,939.817,0.799,0
26.22,50.17,939.818,0.622,0
26.225,50.12,939.812,0.238,0
26.23,50.04,939.814,0.652,0
26.235,49.99,939.805,0.612,0
26.24,49.93,939.802,0.451,0
26.244,49.78,939.795,0.948,0
26.249,50.02,939.798,0.357,0
26.254,50.6,939.81,0.693,0
26.259,51.19,939.81,0.218,0
26.263,51.8,939.812,0.795,0
26.268,52.39,939.81,0.47,0
26.273,52.9,939.806,0.406,0
26.277,53.36,939.803,0.897,0
26.282,53.76,939.792,0.345,0
26.287,54.15,939.795,0.878,0
26.291,54.51,939.795,0.101,0
26.296,54.79,939.794,0.019,0
26.3,55.1,939.804,0.582,0
26.305,55.35,939.797,0.03,0
26.31,55.59,939.801,0.259,0
26.314,55.77,939.798,0.696,0
26.319,56.0,939.788,0.576,0
26.323,56.17,939.792,0.154,0
26.328,56.33,939.793,0.897,0
26.332,56.43,939.793,0.351,0
26.337,56.57,939.79,0.154,0
26.341,56.73,939.788,0.821,0
26.346,56.81,939.79,0.44,0
26.35,56.95,939.784,0.746,0
26.355,57.0,939.788,0.767,0
26.359,57.08,939.791,0.544,0
26.363,57.2,939.785,0.763,0
26.368,57.26,939.782,0.656,0
26.372,57.33,939.773,0.655,0
26.377,57.39,939.781,0.914,0
26.381,57.58,939.788,0.835,0
26.385,57.32,939.787,0.16,0
26.39,56.72,939.797,0.989,0
26.394,55.99,939.798,0.556,0
26.398,55.3,939.796,0.984,0
26.402,54.7,939.793,0.654,0
26.407,54.12,939.788,0.243,0
26.411,53.66,939.783,0.12,0
26.415,53.2,939.793,0.08,0
26.419,52.8,939.789,0.789,0
26.424,52.46,939.79,0.867,0
26.428,52.19,939.796,0.55,0
26.432,51.94,939.789,0.424,0
26.436,51.72,939.786,0.645,0
26.44,51.47,939.79,0.211,0
26.445,51.28,939.778,0.566,0
26.449,51.16,939.781,0.099,0
26.453,50.99,939.783,0.864,0
26.457,50.88,939.787,0.491,0
26.461,50.75,939.789,0.185,0
26.465,50.61,939.79,0.859,0
26.469,50.5,939.78,0.655,0
26.473,50.4,939.783,0.858,0
26.477,50.34,939.785,0.171,0
26.481,50.29,939.772,0.163,0
26.485,50.17,939.774,0.637,0
26.489,50.1,939.783,0.371,0
26.493,50.08,939.785,0.604,0
26.497,50.0,939.778,0.265,0
26.501,49.96,939.772,0.003,0
26.505,49.8,939.766,0.511,0
26.509,50.04,939.783,0.86,0
26.513,50.65,939.795,0.862,0
26.517,51.26,939.8,0.6,0
26.521,51.9,939.801,0.398,0
26.525,52.43,939.783,0.768,0
26.529,52.96,939.78,0.113,0
26.533,53.43,939.779,0.049,0
26.537,53.87,939.78,0.096,0
26.54,54.19,939.773,0.785,0
26.544,54.56,939.767,0.913,0
26.548,54.9,939.767,0.137,0
26.552,55.13,939.76,0.398,0
26.556,55.43,939.746,0.93,0
26.559,55.66,939.745,0.655,0
26.563,55.88,939.742,0.928,0
26.567,56.04,939.758,0.668,0
26.571,56.24,939.76,0.096,0
26.574,56.38,939.755,0.782,0
26.578,56.54,939.741,0.479,0
26.582,56.67,939.747,0.355,0
26.585,56.79,939.745,0.307,0
26.589,56.9,939.751,0.75,0
26.593,56.99,939.748,0.443,0
26.596,57.08,939.752,0.554,0
26.6,57.17,939.753,0.318,0
26.604,57.24,939.756,0.727,0
26.607,57.33,939.767,0.323,0
26.611,57.37,939.77,0.257,0
26.614,57.46,939.769,0.891,0
26.618,57.68,939.775,0.295,0
26.622,57.38,939.774,0.482,0
26.625,56.77,939.775,0.246,0
26.629,56.06,939.766,0.848,0
26.632,55.33,939.753,0.802,0
26.636,54.68,939.761,0.828,0
26.639,54.17,939.76,0.503,0
26.643,53.65,939.768,0.464,0
26.646,53.22,939.774,0.663,0
26.65,52.86,939.776,0.313,0
26.653,52.51,939.761,0.511,0
26.656,52.23,939.768,0.924,0
26.66,51.9,939.77,0.837,0
26.663,51.71,939.776,0.719,0
26.667,51.49,939.773,0.206,0
26.67,51.34,939.768,0.571,0
26.673,51.15,939.755,0.933,0
26.677,51.05,939.751,0.27,0
26.68,50.88,939.753,0.802,0
26.683,50.76,939.75,0.357,0
26.687,50.68,939.75,0.395,0
26.69,50.54,939.757,0.845,0
26.693,50.47,939.754,0.291,0
26.696,50.39,939.766,0.478,0
26.7,50.39,939.768,0.304,0
26.703,50.3,939.778,0.602,0
26.706,50.19,939.759,0.843,0
26.709,50.14,939.755,0.678,0
26.713,50.11,939.765,0.581,0
