Temperature (°C),Humidity (%),Pressure (hPa),Voltage (V),Fire Alarm
23.455,56.57,939.793,0.001131,0
23.466,56.66,939.783,0.001131,0
23.476,56.77,939.784,0.018679,0
23.486,56.81,939.773,0.003198,0
23.496,56.85,939.767,0.005872,0
23.547,54.43,939.785,0.002078,0
23.557,53.91,939.773,0.012617,0
23.567,53.4,939.774,0.0004,0
23.577,52.96,939.773,0.010777,0
23.587,52.56,939.786,0.027881,0
23.597,52.25,939.795,0.012617,0
23.607,51.91,939.795,0.012617,0
23.617,51.63,939.806,0.007397,0
23.627,51.38,939.799,0.005872,0
23.637,51.16,939.785,0.018679,0
23.646,50.96,939.79,0.014551,0
23.656,50.8,939.784,0.018679,0
23.666,50.63,939.787,0.0004,0
23.676,50.51,939.789,0.001131,0
23.686,50.4,939.793,0.002078,0
23.696,50.17,939.788,0.012617,0
23.706,50.08,939.785,0.005872,0
23.716,49.88,939.791,0.003198,0
23.725,49.81,939.802,0.003198,0
23.735,49.74,939.794,0.010777,0
23.745,49.67,939.806,0.009035,0
23.755,49.61,939.798,0.007397,0
23.764,49.54,939.784,0.014551,0
23.774,49.35,939.782,0.081475,0
23.784,49.59,939.784,0.071374,0
23.793,50.13,939.781,0.09556,0
23.803,50.75,939.772,0.088433,0
23.813,51.3,939.786,0.074695,0
23.822,51.89,939.781,0.071374,0
23.832,52.39,939.779,0.0681,0
23.842,52.85,939.787,0.055496,0
23.851,53.25,939.787,0.0681,0
23.861,53.66,939.79,0.02313,0
23.87,53.99,939.781,0.016573,0
23.88,54.3,939.782,0.02547,0
23.89,54.58,939.782,0.0681,0
23.899,54.85,939.795,0.061697,0
23.909,55.04,939.786,0.027881,0
23.918,55.25,939.787,0.010777,0
23.928,55.5,939.784,0.0382,0
23.937,55.71,939.795,0.007397,0
23.946,55.83,939.784,0.027881,0
23.956,55.98,939.794,0.012617,0
23.965,56.13,939.79,0.030362,0
23.975,56.23,939.791,0.007397,0
23.984,56.37,939.791,0.007397,0
23.993,56.47,939.803,0.018679,0
24.003,56.57,939.81,0.010777,0
24.012,56.66,939.809,0.010777,0
24.021,56.76,939.808,0.005872,0
24.031,56.83,939.805,0.005872,0
24.04,56.9,939.805,0.02313,0
24.049,56.96,939.813,0.003198,0
24.095,54.47,939.812,0.004468,0
24.105,53.94,939.804,0.001131,0
24.114,53.43,939.81,0.014551,0
24.141,52.25,939.822,0.004468,0
24.159,51.65,939.825,0.004468,0
24.169,51.26,939.824,0.005872,0
24.178,51.06,939.821,0.007397,0
24.187,50.88,939.827,0.016573,0
24.196,50.74,939.823,0.016573,0
24.205,50.58,939.818,0.016573,0
24.214,50.41,939.803,0.02313,0
24.223,50.31,939.799,0.018679,0
24.232,50.21,939.795,0.009035,0
24.241,50.08,939.805,0.012617,0
24.25,50.0,939.801,0.02313,0
24.259,49.86,939.805,0.03291,0
24.267,49.84,939.796,0.009035,0
24.276,49.76,939.796,0.027881,0
24.285,49.7,939.794,0.027881,0
24.294,49.62,939.796,0.007397,0
24.303,49.56,939.801,0.004468,0
24.312,49.41,939.801,0.081475,0
24.321,49.61,939.793,0.071374,0
24.329,50.14,939.803,0.137531,0
24.338,50.76,939.807,0.102851,0
24.347,51.4,939.806,0.074695,0
24.356,52.37,939.809,0.0681,0
24.365,52.86,939.809,0.084932,0
24.373,53.27,939.813,0.035523,0
24.382,53.64,939.82,0.040938,0
24.391,54.0,939.815,0.040938,0
24.399,54.34,939.815,0.030362,0
24.408,54.6,939.811,0.043736,0
24.417,54.81,939.82,0.064874,0
24.425,55.06,939.811,0.058571,0
24.434,55.27,939.806,0.02547,0
24.443,55.52,939.822,0.005872,0
24.46,55.85,939.848,0.014551,0
24.468,55.98,939.843,0.043736,0
24.477,56.15,939.85,0.007397,0
24.485,56.23,939.842,0.012617,0
24.494,56.36,939.848,0.005872,0
24.503,56.46,939.849,0.014551,0
24.511,56.57,939.841,0.020866,0
24.52,56.67,939.843,0.014551,0
24.528,56.75,939.839,0.0004,0
24.536,56.82,939.847,0.016573,0
24.545,56.9,939.85,0.03291,0
24.553,56.97,939.842,0.02313,0
24.595,55.0,939.847,0.0004,0
24.604,54.41,939.846,0.007397,0
24.62,53.34,939.837,0.009035,0
24.637,52.55,939.836,0.009035,0
24.645,52.17,939.832,0.005872,0
24.653,51.9,939.831,0.005872,0
24.661,51.64,939.838,0.0004,0
24.67,51.38,939.837,0.018679,0
24.678,51.15,939.825,0.007397,0
24.686,50.98,939.834,0.016573,0
24.694,50.83,939.838,0.016573,0
24.702,50.65,939.83,0.007397,0
24.71,50.49,939.833,0.007397,0
24.719,50.37,939.833,0.002078,0
24.727,50.24,939.83,0.035523,0
24.735,50.13,939.83,0.018679,0
24.743,50.05,939.827,0.009035,0
24.751,49.98,939.834,0.020866,0
24.767,49.82,939.822,0.002078,0
24.775,49.73,939.827,0.014551,0
24.783,49.67,939.829,0.02313,0
24.791,49.59,939.836,0.018679,0
24.799,49.53,939.838,0.012617,0
24.807,49.37,939.842,0.099186,0
24.815,49.64,939.842,0.114081,0
24.823,50.15,939.839,0.084932,0
24.831,50.81,939.844,0.061697,0
24.839,51.38,939.837,0.1103,0
24.847,51.89,939.852,0.074695,0
24.854,52.44,939.844,0.074695,0
24.862,52.9,939.848,0.052473,0
24.87,53.26,939.84,0.064874,0
24.878,53.68,939.834,0.020866,0
24.886,54.05,939.819,0.043736,0
24.894,54.33,939.827,0.027881,0
24.901,54.6,939.831,0.016573,0
24.909,54.84,939.831,0.046592,0
24.917,55.1,939.84,0.018679,0
24.925,55.32,939.836,0.018679,0
24.932,55.48,939.842,0.043736,0
24.94,55.67,939.85,0.014551,0
24.948,55.85,939.832,0.014551,0
24.956,56.0,939.83,0.014551,0
24.963,56.15,939.835,0.009035,0
24.971,56.29,939.842,0.016573,0
24.979,56.38,939.839,0.030362,0
24.986,56.46,939.824,0.018679,0
24.994,56.61,939.83,0.02547,0
25.001,56.66,939.834,0.020866,0
25.009,56.76,939.815,0.005872,0
25.016,56.85,939.818,0.009035,0
25.024,56.91,939.824,0.003198,0
25.032,57.0,939.841,0.007397,0
25.077,53.91,939.841,0.010777,0
25.084,53.42,939.839,0.004468,0
25.099,52.56,939.835,0.007397,0
25.106,52.26,939.829,0.005872,0
25.114,51.95,939.829,0.010777,0
25.121,51.68,939.82,0.018679,0
25.128,51.44,939.817,0.012617,0
25.136,51.23,939.818,0.018679,0
25.143,51.03,939.835,0.003198,0
25.15,50.85,939.838,0.014551,0
25.158,50.57,939.824,0.02547,0
25.165,50.45,939.827,0.016573,0
25.172,50.31,939.831,0.004468,0
25.179,50.19,939.834,0.010777,0
25.187,50.11,939.834,0.003198,0
25.194,50.02,939.828,0.009035,0
25.201,49.93,939.828,0.014551,0
25.215,49.77,939.825,0.014551,0
25.223,49.64,939.812,0.010777,0
25.23,49.62,939.827,0.002078,0
25.237,49.44,939.826,0.055496,0
25.244,49.74,939.843,0.091975,0
25.251,50.26,939.841,0.088433,0
25.258,50.89,939.83,0.071374,0
25.265,51.46,939.835,0.088433,0
25.272,51.99,939.828,0.088433,0
25.279,52.52,939.834,0.071374,0
25.286,52.98,939.83,0.061697,0
25.293,53.44,939.814,0.055496,0
25.3,53.81,939.821,0.030362,0
25.307,54.17,939.817,0.027881,0
25.314,54.46,939.817,0.040938,0
25.321,54.76,939.815,0.03291,0
25.328,55.01,939.815,0.014551,0
25.335,55.23,939.835,0.0382,0
25.342,55.45,939.831,0.018679,0
25.349,55.66,939.829,0.03291,0
25.356,55.86,939.826,0.014551,0
25.363,56.01,939.835,0.009035,0
25.37,56.16,939.844,0.016573,0
25.376,56.28,939.837,0.009035,0
25.383,56.42,939.842,0.016573,0
25.39,56.56,939.845,0.030362,0
25.397,56.64,939.838,0.009035,0
25.41,56.86,939.816,0.020866,0
25.417,56.96,939.823,0.027881,0
25.424,57.01,939.824,0.012617,0
25.431,57.09,939.823,0.02313,0
25.437,57.14,939.827,0.007397,0
25.477,54.57,939.83,0.002078,0
25.484,54.0,939.825,0.001131,0
25.491,53.51,939.816,0.004468,0
25.497,53.1,939.817,0.009035,0
25.504,52.7,939.82,0.016573,0
25.51,52.38,939.829,0.007397,0
25.517,52.07,939.85,0.014551,0
25.523,51.83,939.852,0.02313,0
25.53,51.57,939.847,0.030362,0
25.536,51.35,939.842,0.0004,0
25.543,51.18,939.832,0.005872,0
25.562,50.68,939.829,0.004468,0
25.569,50.59,939.833,0.02313,0
25.575,50.49,939.825,0.002078,0
25.582,50.39,939.818,0.016573,0
25.588,50.23,939.821,0.020866,0
25.594,50.15,939.821,0.014551,0
25.601,50.12,939.812,0.018679,0
25.607,50.0,939.817,0.016573,0
25.613,49.98,939.809,0.012617,0
25.62,49.89,939.804,0.014551,0
25.626,49.81,939.808,0.010777,0
25.632,49.74,939.816,0.016573,0
25.639,49.6,939.819,0.0681,0
25.645,49.86,939.824,0.064874,0
25.651,50.41,939.823,0.09556,0
25.657,51.04,939.82,0.078063,0
25.664,51.64,939.824,0.046592,0
25.67,52.17,939.823,0.052473,0
25.676,52.71,939.816,0.061697,0
25.682,53.2,939.824,0.078063,0
25.688,53.6,939.836,0.049505,0
25.694,53.98,939.83,0.027881,0
25.701,54.32,939.833,0.058571,0
25.707,54.64,939.827,0.030362,0
25.713,54.91,939.829,0.040938,0
25.719,55.54,939.828,0.02547,0
25.725,55.77,939.832,0.010777,0
25.731,55.97,939.838,0.030362,0
25.737,56.11,939.835,0.005872,0
25.743,56.24,939.835,0.0004,0
25.749,56.39,939.835,0.02547,0
25.755,56.55,939.835,0.02547,0
25.761,56.65,939.835,0.012617,0
25.767,56.75,939.835,0.0004,0
25.773,56.93,939.825,0.009035,0
25.785,57.24,939.828,0.005872,0
25.815,55.23,939.83,0.001131,0
25.82,54.63,939.838,0.001131,0
25.832,53.56,939.843,0.003198,0
25.838,53.13,939.832,0.010777,0
25.844,52.74,939.839,0.020866,0
25.85,52.4,939.832,0.02547,0
25.855,52.13,939.831,0.002078,0
25.867,51.64,939.827,0.001131,0
25.873,51.42,939.843,0.014551,0
25.878,51.06,939.837,0.018679,0
25.884,50.93,939.833,0.009035,0
25.89,50.78,939.823,0.020866,0
25.895,50.63,939.825,0.010777,0
25.901,50.5,939.824,0.003198,0
25.907,50.43,939.825,0.018679,0
25.912,50.36,939.838,0.010777,0
25.918,50.25,939.834,0.0004,0
25.923,50.14,939.831,0.001131,0
25.929,50.07,939.839,0.003198,0
25.935,50.0,939.833,0.018679,0
25.94,49.94,939.835,0.002078,0
25.951,49.83,939.824,0.014551,0
25.957,50.37,939.818,0.088433,0
25.962,50.95,939.828,0.071374,0
25.968,51.57,939.836,0.046592,0
25.973,52.62,939.856,0.09556,0
25.979,53.08,939.85,0.052473,0
25.984,53.51,939.845,0.049505,0
25.99,53.94,939.842,0.058571,0
25.995,54.57,939.842,0.02547,0
26.001,54.85,939.843,0.014551,0
26.006,55.12,939.828,0.027881,0
26.011,55.39,939.832,0.02313,0
26.017,55.63,939.836,0.030362,0
26.022,55.81,939.837,0.027881,0
26.027,56.03,939.838,0.040938,0
26.033,56.16,939.836,0.002078,0
26.043,56.49,939.845,0.005872,0
26.049,56.61,939.841,0.009035,0
26.054,56.7,939.84,0.014551,0
26.059,56.83,939.839,0.012617,0
26.07,57.04,939.847,0.014551,0
26.075,57.15,939.838,0.012617,0
26.08,57.23,939.845,0.012617,0
26.085,57.28,939.838,0.002078,0
26.09,57.35,939.841,0.007397,0
26.121,54.71,939.848,0.002078,0
26.126,54.18,939.836,0.0004,0
26.131,53.71,939.833,0.012617,0
26.137,53.23,939.844,0.0004,0
26.142,52.85,939.839,0.005872,0
26.147,52.5,939.834,0.007397,0
26.157,51.97,939.841,0.014551,0
26.162,51.72,939.838,0.010777,0
26.167,51.48,939.844,0.012617,0
26.172,51.33,939.835,0.005872,0
26.176,51.17,939.835,0.009035,0
26.181,51.04,939.821,0.002078,0
26.186,50.86,939.805,0.014551,0
26.191,50.71,939.809,0.012617,0
26.201,50.52,939.813,0.009035,0
26.206,50.41,939.819,0.002078,0
26.211,50.32,939.813,0.012617,0
26.216,50.28,939.817,0.014551,0
26.22,50.17,939.818,0.012617,0
26.225,50.12,939.812,0.003198,0
26.23,50.04,939.814,0.007397,0
26.235,49.99,939.805,0.0004,0
26.244,49.78,939.795,0.061697,0
26.249,50.02,939.798,0.078063,0
26.254,50.6,939.81,0.071374,0
26.259,51.19,939.81,0.046592,0
26.263,51.8,939.812,0.074695,0
26.268,52.39,939.81,0.061697,0
26.273,52.9,939.806,0.061697,0
26.277,53.36,939.803,0.03291,0
26.282,53.76,939.792,0.035523,0
26.287,54.15,939.795,0.040938,0
26.291,54.51,939.795,0.030362,0
26.296,54.79,939.794,0.035523,0
26.3,55.1,939.804,0.007397,0
26.305,55.35,939.797,0.052473,0
26.31,55.59,939.801,0.020866,0
26.314,55.77,939.798,0.014551,0
26.319,56.0,939.788,0.001131,0
26.323,56.17,939.792,0.02313,0
26.328,56.33,939.793,0.005872,0
26.332,56.43,939.793,0.02313,0
26.337,56.57,939.79,0.03291,0
26.341,56.73,939.788,0.018679,0
26.346,56.81,939.79,0.02313,0
26.35,56.95,939.784,0.018679,0
26.355,57.0,939.788,0.005872,0
26.359,57.08,939.791,0.014551,0
26.363,57.2,939.785,0.003198,0
26.372,57.33,939.773,0.007397,0
26.377,57.39,939.781,0.016573,0
26.398,55.3,939.796,0.005872,0
26.407,54.12,939.788,0.001131,0
26.411,53.66,939.783,0.004468,0
26.415,53.2,939.793,0.002078,0
26.419,52.8,939.789,0.0004,0
26.428,52.19,939.796,0.009035,0
26.432,51.94,939.789,0.007397,0
26.436,51.72,939.786,0.02313,0
26.44,51.47,939.79,0.014551,0
26.445,51.28,939.778,0.027881,0
26.449,51.16,939.781,0.027881,0
26.453,50.99,939.783,0.014551,0
26.457,50.88,939.787,0.040938,0
26.465,50.61,939.79,0.003198,0
26.469,50.5,939.78,0.014551,0
26.473,50.4,939.783,0.004468,0
26.477,50.34,939.785,0.004468,0
26.481,50.29,939.772,0.020866,0
26.485,50.17,939.774,0.016573,0
26.489,50.1,939.783,0.010777,0
26.493,50.08,939.785,0.018679,0
26.497,50.0,939.778,0.007397,0
26.501,49.96,939.772,0.0004,0
26.505,49.8,939.766,0.0382,0
26.509,50.04,939.783,0.030362,0
26.513,50.65,939.795,0.1179,0
26.517,51.26,939.8,0.052473,0
26.521,51.9,939.801,0.058571,0
26.525,52.43,939.783,0.058571,0
26.529,52.96,939.78,0.049505,0
26.533,53.43,939.779,0.0382,0
26.537,53.87,939.78,0.014551,0
26.54,54.19,939.773,0.010777,0
26.544,54.56,939.767,0.020866,0
26.548,54.9,939.767,0.040938,0
26.552,55.13,939.76,0.02547,0
26.556,55.43,939.746,0.027881,0
26.559,55.66,939.745,0.003198,0
26.563,55.88,939.742,0.014551,0
26.567,56.04,939.758,0.043736,0
26.571,56.24,939.76,0.003198,0
26.574,56.38,939.755,0.035523,0
26.578,56.54,939.741,0.018679,0
26.582,56.67,939.747,0.0382,0
26.585,56.79,939.745,0.005872,0
26.589,56.9,939.751,0.012617,0
26.593,56.99,939.748,0.003198,0
26.596,57.08,939.752,0.010777,0
26.6,57.17,939.753,0.014551,0
26.604,57.24,939.756,0.012617,0
26.607,57.33,939.767,0.014551,0
26.611,57.37,939.77,0.020866,0
26.614,57.46,939.769,0.005872,0
26.639,54.17,939.76,0.009035,0
26.643,53.65,939.768,0.005872,0
26.65,52.86,939.776,0.004468,0
26.653,52.51,939.761,0.002078,0
26.66,51.9,939.77,0.005872,0
26.663,51.71,939.776,0.020866,0
26.667,51.49,939.773,0.02313,0
26.67,51.34,939.768,0.016573,0
26.673,51.15,939.755,0.02313,0
26.677,51.05,939.751,0.03291,0
26.68,50.88,939.753,0.02547,0
26.683,50.76,939.75,0.020866,0
26.687,50.68,939.75,0.005872,0
26.69,50.54,939.757,0.027881,0
26.693,50.47,939.754,0.014551,0
26.696,50.39,939.766,0.03291,0
26.7,50.39,939.768,0.020866,0
26.703,50.3,939.778,0.007397,0
26.706,50.19,939.759,0.005872,0
26.709,50.14,939.755,0.014551,0
26.713,50.11,939.765,0.009035,0
26.716,50.04,939.77,0.0004,0
26.719,49.87,939.775,0.052473,0
26.722,50.16,939.765,0.058571,0
26.725,50.75,939.753,0.03291,0
26.728,51.38,939.76,0.064874,0
26.732,52.0,939.759,0.084932,0
26.735,52.56,939.754,0.02547,0
26.738,53.12,939.759,0.027881,0
26.741,53.56,939.761,0.0382,0
26.744,54.03,939.762,0.030362,0
26.747,54.39,939.766,0.035523,0
26.75,54.99,939.779,0.043736,0
26.753,55.27,939.774,0.055496,0
26.756,55.57,939.774,0.012617,0
26.759,55.84,939.773,0.018679,0
26.762,56.02,939.776,0.012617,0
26.765,56.2,939.791,0.020866,0
26.768,56.37,939.79,0.012617,0
26.771,56.53,939.804,0.009035,0
26.774,56.67,939.794,0.005872,0
26.777,56.81,939.792,0.016573,0
26.78,56.92,939.799,0.02313,0
26.783,57.06,939.789,0.009035,0
26.786,57.22,939.788,0.009035,0
26.791,57.45,939.786,0.012617,0
26.794,57.53,939.784,0.014551,0
26.797,57.6,939.793,0.010777,0
26.8,57.67,939.792,0.009035,0
26.83,52.69,939.806,0.0004,0
26.838,51.85,939.806,0.005872,0
26.841,51.69,939.798,0.007397,0
26.843,51.54,939.804,0.012617,0
26.861,50.62,939.778,0.009035,0
26.864,50.59,939.788,0.004468,0
26.867,50.48,939.783,0.007397,0
26.869,50.34,939.767,0.004468,0
26.871,50.26,939.764,0.007397,0
26.874,50.2,939.774,0.005872,0
26.876,50.18,939.783,0.007397,0
26.879,49.97,939.779,0.016573,0
26.881,50.3,939.786,0.078063,0
26.884,50.91,939.788,0.074695,0
26.886,51.51,939.793,0.055496,0
26.889,52.14,939.788,0.058571,0
26.891,52.67,939.775,0.052473,0
26.893,53.2,939.774,0.043736,0
26.896,53.67,939.774,0.058571,0
26.898,54.11,939.778,0.020866,0
26.9,54.51,939.767,0.02547,0
26.903,54.8,939.776,0.02313,0
26.905,55.13,939.778,0.035523,0
26.907,55.4,939.784,0.010777,0
26.91,55.6,939.796,0.012617,0
26.912,55.88,939.784,0.016573,0
26.914,56.11,939.776,0.003198,0
26.916,56.26,939.773,0.009035,0
26.919,56.42,939.762,0.002078,0
26.921,56.56,939.769,0.018679,0
26.923,56.71,939.771,0.020866,0
26.925,56.87,939.766,0.016573,0
26.927,56.95,939.766,0.010777,0
26.932,57.15,939.769,0.018679,0
26.934,57.27,939.767,0.0004,0
26.936,57.35,939.764,0.020866,0
26.938,57.44,939.766,0.020866,0
26.94,57.51,939.755,0.012617,0
26.959,52.67,939.738,0.001131,0
26.963,52.06,939.739,0.0004,0
26.965,51.85,939.748,0.002078,0
26.967,51.65,939.719,0.003198,0
26.969,51.43,939.711,0.007397,0
26.971,51.31,939.713,0.0004,0
26.974,51.01,939.729,0.0004,0
26.976,50.86,939.745,0.003198,0
26.984,50.46,939.748,0.016573,0
26.985,50.39,939.752,0.009035,0
26.987,50.33,939.755,0.007397,0
26.989,50.25,939.761,0.014551,0
26.991,50.17,939.766,0.003198,0
26.993,50.13,939.763,0.010777,0
26.994,50.06,939.77,0.003198,0
26.996,49.9,939.76,0.052473,0
26.998,50.16,939.748,0.1103,0
27.0,50.78,939.76,0.052473,0
27.001,51.42,939.765,0.052473,0
27.003,51.98,939.756,0.071374,0
27.005,52.58,939.756,0.055496,0
27.006,53.13,939.748,0.061697,0
27.008,53.59,939.748,0.02547,0
27.01,53.99,939.762,0.046592,0
27.011,54.39,939.771,0.058571,0
27.013,54.68,939.773,0.052473,0
27.015,55.0,939.755,0.030362,0
27.016,55.28,939.764,0.052473,0
27.018,55.48,939.765,0.007397,0
27.019,55.78,939.761,0.014551,0
27.021,55.95,939.756,0.012617,0
