Voltage (V),Temperature (°C),Pressure (hPa),Humidity (%),Fire Alarm
0.57,46.9,1009.12,25.0,1
0.54,46.99,1009.12,25.0,1
0.48,47.09,1009.11,25.0,1
0.47,47.17,1009.11,25.0,1
0.46,47.21,1009.11,25.0,1
0.47,47.26,1009.11,25.0,1
0.45,47.29,1009.11,25.0,1
0.47,47.33,1009.1,25.0,1
0.47,47.4,1009.1,25.0,1
0.47,47.46,1009.09,25.0,1
0.47,47.48,1009.07,25.0,1
0.46,47.5,1009.07,25.0,1
0.44,47.58,1009.07,25.0,1
0.44,47.64,1009.07,25.0,1
0.41,47.72,1009.06,25.0,1
0.4,47.73,1009.07,24.0,1
0.41,47.71,1009.07,24.0,1
0.41,47.77,1009.07,24.0,1
0.43,47.84,1009.07,24.0,1
0.43,47.9,1009.07,24.0,1
0.43,47.94,1009.06,25.0,1
0.42,48.01,1009.05,25.0,1
0.41,48.08,1009.04,25.0,1
0.4,48.07,1009.03,24.0,1
0.39,47.94,1009.04,24.0,1
0.41,47.81,1009.06,24.0,1
0.42,47.68,1009.06,23.0,1
0.41,47.34,1009.06,23.0,1
0.4,47.05,1009.07,23.0,1
0.44,46.99,1009.05,23.0,1
0.49,47.02,1009.05,23.0,1
0.52,47.12,1009.05,23.0,1
0.5,47.12,1009.04,23.0,1
0.49,47.02,1009.03,23.0,1
0.49,46.97,1009.02,23.0,1
0.51,46.95,1009.02,23.0,1
0.48,46.83,1009.03,24.0,1
0.48,46.65,1009.05,24.0,1
0.5,46.55,1009.06,24.0,1
0.52,46.56,1009.07,24.0,1
0.54,46.69,1009.06,24.0,1
0.54,46.85,1009.05,24.0,1
0.47,46.75,1009.06,24.0,1
0.49,46.65,1009.06,24.0,1
0.53,46.68,1009.06,24.0,1
0.53,46.61,1009.06,24.0,1
0.5,46.34,1009.05,24.0,1
0.48,46.17,1009.03,24.0,1
0.47,45.98,1009.01,24.0,1
0.47,45.75,1009.01,24.0,1
0.48,45.58,1009.02,24.0,1
0.48,45.6,1009.02,24.0,1
0.54,45.77,1009.03,24.0,1
0.56,45.92,1009.05,24.0,1
0.55,46.0,1009.05,24.0,1
0.55,46.07,1009.06,24.0,1
0.59,46.21,1009.06,24.0,1
0.58,46.34,1009.06,24.0,1
0.56,46.49,1009.06,24.0,1
0.54,46.65,1009.05,24.0,1
0.51,46.8,1009.04,25.0,1
0.49,46.89,1009.04,25.0,1
0.47,46.93,1009.03,25.0,1
0.47,46.98,1009.03,25.0,1
0.48,47.03,1009.03,25.0,1
0.5,47.08,1009.02,25.0,1
0.48,47.14,1009.01,25.0,1
0.49,47.11,1009.01,25.0,1
0.46,46.92,1009.0,25.0,1
0.48,46.82,1009.0,24.0,1
0.5,46.8,1008.99,24.0,1
0.5,46.7,1009.01,24.0,1
0.51,46.44,1009.02,24.0,1
0.49,46.04,1009.02,24.0,1
0.48,45.54,1009.03,24.0,1
0.49,45.16,1009.04,24.0,1
0.5,44.84,1009.05,24.0,1
0.5,44.58,1009.05,24.0,1
0.49,44.26,1009.07,24.0,1
0.47,43.9,1009.07,24.0,1
0.46,43.72,1009.05,24.0,1
0.46,43.75,1009.03,24.0,1
0.48,43.93,1009.01,24.0,1
0.48,44.17,1009.0,24.0,1
0.5,44.39,1008.99,24.0,1
0.54,44.64,1008.99,24.0,1
0.54,44.8,1008.98,25.0,1
0.5,44.91,1008.98,25.0,1
0.51,45.0,1008.97,25.0,1
0.53,45.14,1008.97,25.0,1
0.52,45.24,1008.97,25.0,1
0.51,45.25,1008.98,25.0,1
0.5,45.23,1008.99,25.0,1
0.52,45.25,1009.0,25.0,1
0.53,45.37,1009.0,25.0,1
0.57,45.55,1009.0,25.0,1
0.55,45.63,1009.0,25.0,1
0.54,45.59,1008.99,26.0,1
0.54,45.58,1009.01,25.0,1
0.54,45.59,1009.0,25.0,1
0.54,45.57,1008.99,26.0,1
0.52,45.57,1009.0,26.0,1
0.51,45.63,1009.0,26.0,1
0.55,45.77,1009.0,26.0,1
0.57,45.9,1009.01,26.0,1
0.57,46.0,1009.02,26.0,1
0.56,46.08,1009.02,26.0,1
0.55,46.22,1009.01,26.0,1
0.53,46.34,1009.02,25.0,1
0.5,46.39,1009.03,25.0,1
0.5,46.43,1009.01,25.0,1
0.48,46.5,1009.0,25.0,1
0.5,46.63,1008.98,25.0,1
0.48,46.71,1008.98,25.0,1
0.49,46.79,1008.97,25.0,1
0.52,46.89,1008.96,25.0,1
0.5,46.96,1008.96,25.0,1
0.47,46.98,1008.96,25.0,1
0.49,46.96,1008.97,25.0,1
0.49,46.91,1008.97,25.0,1
0.49,46.79,1008.98,25.0,1
0.5,46.73,1008.98,25.0,1
0.52,46.7,1008.97,25.0,1
0.5,46.65,1008.97,25.0,1
0.53,46.64,1008.95,25.0,1
0.53,46.65,1008.94,25.0,1
0.5,46.66,1008.94,25.0,1
0.5,46.69,1008.93,25.0,1
0.46,46.58,1008.94,25.0,1
0.46,46.4,1008.93,25.0,1
0.5,46.33,1008.93,25.0,1
0.5,46.32,1008.92,25.0,1
0.5,46.24,1008.91,24.0,1
0.5,46.17,1008.92,24.0,1
0.52,46.12,1008.94,25.0,1
0.51,46.09,1008.95,25.0,1
0.54,46.09,1008.95,25.0,1
0.53,46.16,1008.95,25.0,1
0.53,46.21,1008.94,25.0,1
0.52,46.22,1008.93,25.0,1
0.52,46.22,1008.92,25.0,1
0.51,46.18,1008.91,25.0,1
0.53,46.13,1008.9,25.0,1
0.52,46.08,1008.9,25.0,1
0.52,46.02,1008.91,25.0,1
0.51,45.98,1008.9,25.0,1
0.5,45.86,1008.9,25.0,1
0.52,45.8,1008.9,26.0,1
0.53,45.85,1008.91,26.0,1
0.56,45.93,1008.92,26.0,1
0.53,45.92,1008.92,26.0,1
0.5,45.85,1008.91,26.0,1
0.5,45.77,1008.9,26.0,1
0.5,45.58,1008.9,26.0,1
0.5,45.47,1008.89,26.0,1
0.5,45.46,1008.88,26.0,1
0.51,45.48,1008.88,26.0,1
0.51,45.51,1008.87,27.0,1
0.54,45.46,1008.87,28.0,1
0.56,45.41,1008.87,28.0,1
0.58,45.45,1008.85,29.0,1
0.58,45.48,1008.84,28.0,1
0.56,45.47,1008.84,28.0,1
0.53,45.45,1008.83,28.0,1
0.53,45.45,1008.84,29.0,1
0.52,45.44,1008.83,29.0,1
0.5,45.43,1008.83,29.0,1
0.43,45.28,1008.82,29.0,1
0.39,45.01,1008.83,29.0,1
0.4,44.88,1008.84,29.0,1
0.45,44.83,1008.85,29.0,1
0.49,44.78,1008.85,29.0,1
0.53,44.76,1008.86,29.0,1
0.56,44.75,1008.86,29.0,1
0.54,44.78,1008.83,29.0,1
0.53,44.74,1008.83,29.0,1
0.5,44.65,1008.83,30.0,1
0.53,44.62,1008.84,30.0,1
0.55,44.7,1008.84,30.0,1
0.56,44.79,1008.83,30.0,1
0.52,44.78,1008.83,30.0,1
0.52,44.75,1008.83,30.0,1
0.51,44.72,1008.84,30.0,1
0.53,44.78,1008.84,30.0,1
0.54,44.86,1008.85,30.0,1
0.55,44.95,1008.85,30.0,1
0.52,44.92,1008.85,30.0,1
0.52,44.94,1008.84,30.0,1
0.47,44.87,1008.84,30.0,1
0.49,44.79,1008.85,30.0,1
0.49,44.74,1008.85,30.0,1
0.5,44.68,1008.84,30.0,1
0.51,44.62,1008.83,30.0,1
0.52,44.58,1008.83,30.0,1
0.51,44.56,1008.83,30.0,1
0.53,44.6,1008.84,30.0,1
0.54,44.66,1008.84,30.0,1
0.54,44.69,1008.85,30.0,1
0.55,44.74,1008.85,30.0,1
0.58,44.82,1008.84,30.0,1
0.56,44.88,1008.84,30.0,1
0.53,44.91,1008.83,30.0,1
0.51,44.9,1008.82,30.0,1
0.49,44.87,1008.83,30.0,1
0.48,44.9,1008.82,30.0,1
0.49,44.96,1008.83,30.0,1
0.49,45.03,1008.82,30.0,1
0.48,45.1,1008.82,30.0,1
0.46,45.14,1008.82,30.0,1
0.45,45.16,1008.82,30.0,1
0.44,45.2,1008.82,30.0,1
0.45,45.21,1008.81,30.0,1
0.48,45.22,1008.8,30.0,1
0.49,45.19,1008.81,30.0,1
0.46,45.13,1008.82,30.0,1
0.5,45.13,1008.83,30.0,1
0.5,45.15,1008.84,30.0,1
0.5,45.17,1008.84,30.0,1
0.45,45.08,1008.83,29.0,1
0.45,44.95,1008.83,29.0,1
0.49,44.92,1008.84,29.0,1
0.47,44.92,1008.83,29.0,1
0.48,44.88,1008.83,29.0,1
0.52,44.9,1008.82,29.0,1
0.53,44.91,1008.83,29.0,1
0.54,44.89,1008.83,29.0,1
0.49,44.74,1008.83,29.0,1
0.44,44.5,1008.82,29.0,1
0.43,44.23,1008.84,29.0,1
0.48,44.07,1008.83,28.0,1
0.48,44.09,1008.83,28.0,1
0.52,44.2,1008.83,29.0,1
0.57,44.33,1008.82,29.0,1
0.58,44.45,1008.82,29.0,1
0.56,44.54,1008.81,29.0,1
0.52,44.59,1008.81,29.0,1
0.5,44.56,1008.81,29.0,1
0.5,44.53,1008.81,29.0,1
0.51,44.56,1008.82,29.0,1
0.5,44.58,1008.82,29.0,1
0.51,44.59,1008.81,29.0,1
0.51,44.58,1008.82,28.0,1
0.52,44.61,1008.81,28.0,1
0.53,44.66,1008.8,28.0,1
0.54,44.75,1008.79,28.0,1
0.53,44.85,1008.78,28.0,1
0.5,44.85,1008.78,28.0,1
0.48,44.77,1008.78,28.0,1
0.49,44.65,1008.78,28.0,1
0.49,44.53,1008.78,27.0,1
0.53,44.46,1008.78,27.0,1
0.54,44.45,1008.77,27.0,1
0.53,44.49,1008.76,27.0,1
0.51,44.48,1008.76,27.0,1
0.53,44.46,1008.75,27.0,1
0.53,44.46,1008.74,27.0,1
0.56,44.49,1008.75,26.0,1
0.53,44.46,1008.75,26.0,1
0.54,44.48,1008.76,26.0,1
0.55,44.54,1008.75,26.0,1
0.54,44.6,1008.75,26.0,1
0.54,44.67,1008.75,27.0,1
0.53,44.79,1008.74,27.0,1
0.51,44.92,1008.74,27.0,1
0.48,45.04,1008.74,27.0,1
0.46,45.15,1008.72,27.0,1
0.44,45.18,1008.73,27.0,1
0.45,45.11,1008.75,27.0,1
0.45,45.02,1008.75,27.0,1
0.41,44.88,1008.74,27.0,1
0.43,44.8,1008.74,27.0,1
0.48,44.75,1008.73,27.0,1
0.52,44.8,1008.73,27.0,1
0.53,44.86,1008.73,27.0,1
0.53,44.9,1008.72,28.0,1
0.49,44.82,1008.72,28.0,1
0.46,44.71,1008.71,27.0,1
0.45,44.63,1008.71,27.0,1
0.44,44.43,1008.69,27.0,1
0.43,44.27,1008.68,27.0,1
0.5,44.26,1008.66,27.0,1
0.52,44.32,1008.65,27.0,1
0.52,44.31,1008.65,28.0,1
0.48,44.16,1008.65,27.0,1
0.49,44.07,1008.65,27.0,1
0.44,43.87,1008.67,27.0,1
0.43,43.67,1008.68,27.0,1
0.48,43.63,1008.67,27.0,1
0.46,43.68,1008.67,27.0,1
0.48,43.75,1008.67,28.0,1
0.45,43.72,1008.66,28.0,1
0.45,43.66,1008.66,28.0,1
0.45,43.64,1008.65,27.0,1
0.5,43.72,1008.65,28.0,1
0.52,43.81,1008.64,28.0,1
0.53,43.9,1008.63,29.0,1
0.55,43.96,1008.62,28.0,1
0.53,44.02,1008.61,28.0,1
0.52,44.01,1008.61,28.0,1
0.55,44.06,1008.62,28.0,1
0.55,44.1,1008.61,28.0,1
0.56,44.13,1008.62,28.0,1
0.57,44.18,1008.63,29.0,1
0.6,44.28,1008.64,29.0,1
0.6,44.35,1008.64,29.0,1
0.58,44.42,1008.65,29.0,1
0.56,44.5,1008.65,29.0,1
0.53,44.55,1008.65,29.0,1
0.52,44.62,1008.66,29.0,1
0.52,44.67,1008.65,29.0,1
0.5,44.68,1008.65,29.0,1
0.52,44.73,1008.64,29.0,1
0.51,44.8,1008.62,29.0,1
0.54,44.85,1008.62,29.0,1
0.55,44.88,1008.61,29.0,1
0.55,44.96,1008.6,29.0,1
0.55,45.01,1008.61,29.0,1
0.53,45.01,1008.61,29.0,1
0.51,45.01,1008.61,29.0,1
0.5,45.0,1008.59,29.0,1
0.52,45.0,1008.59,28.0,1
0.48,44.87,1008.59,28.0,1
0.44,44.67,1008.59,27.0,1
0.41,44.42,1008.6,27.0,1
0.45,44.3,1008.59,27.0,1
0.5,44.29,1008.58,27.0,1
0.51,44.25,1008.58,27.0,1
0.49,44.17,1008.57,27.0,1
0.48,44.08,1008.56,26.0,1
0.5,44.02,1008.56,26.0,1
0.48,43.89,1008.56,26.0,1
0.5,43.84,1008.57,26.0,1
0.53,43.88,1008.57,26.0,1
0.51,43.81,1008.57,26.0,1
0.48,43.64,1008.57,26.0,1
0.51,43.6,1008.57,26.0,1
0.55,43.65,1008.58,27.0,1
0.56,43.76,1008.58,27.0,1
0.57,43.89,1008.57,27.0,1
0.55,43.99,1008.56,27.0,1
0.55,44.04,1008.55,27.0,1
0.55,44.12,1008.55,28.0,1
0.56,44.23,1008.56,28.0,1
0.54,44.27,1008.56,27.0,1
0.51,44.13,1008.56,27.0,1
0.51,44.03,1008.57,27.0,1
0.55,44.05,1008.55,27.0,1
0.56,44.11,1008.53,27.0,1
0.57,44.18,1008.54,27.0,1
0.57,44.25,1008.54,27.0,1
0.55,44.36,1008.54,27.0,1
0.5,44.36,1008.53,27.0,1
0.5,44.4,1008.54,26.0,1
0.52,44.41,1008.54,26.0,1
0.55,44.47,1008.55,27.0,1
0.57,44.52,1008.55,27.0,1
0.57,44.57,1008.55,27.0,1
0.57,44.59,1008.55,27.0,1
0.57,44.62,1008.54,27.0,1
0.59,44.68,1008.55,28.0,1
0.53,44.66,1008.54,28.0,1
0.53,44.66,1008.53,27.0,1
0.55,44.67,1008.54,27.0,1
0.57,44.73,1008.54,28.0,1
0.59,44.78,1008.54,27.0,1
0.58,44.83,1008.55,27.0,1
0.57,44.88,1008.55,27.0,1
0.56,44.97,1008.55,27.0,1
0.54,45.07,1008.54,28.0,1
0.54,45.15,1008.53,28.0,1
0.5,45.23,1008.52,28.0,1
0.5,45.3,1008.51,28.0,1
0.48,45.26,1008.5,28.0,1
0.48,45.17,1008.49,27.0,1
0.45,45.12,1008.49,27.0,1
0.53,45.12,1008.48,27.0,1
0.56,45.14,1008.48,27.0,1
0.58,45.16,1008.48,27.0,1
0.56,45.19,1008.48,27.0,1
0.55,45.21,1008.48,28.0,1
0.53,45.26,1008.47,28.0,1
0.52,45.29,1008.48,28.0,1
0.51,45.33,1008.47,27.0,1
0.51,45.37,1008.47,27.0,1
0.51,45.41,1008.47,27.0,1
0.51,45.49,1008.47,26.0,1
0.49,45.62,1008.48,27.0,1
0.49,45.64,1008.48,27.0,1
0.46,45.58,1008.47,26.0,1
0.53,45.58,1008.46,25.0,1
0.53,45.65,1008.47,25.0,1
0.54,45.71,1008.47,25.0,1
0.53,45.74,1008.47,25.0,1
0.5,45.78,1008.46,26.0,1
0.5,45.81,1008.46,26.0,1
0.46,45.78,1008.46,26.0,1
0.44,45.74,1008.47,26.0,1
0.49,45.73,1008.47,26.0,1
0.52,45.68,1008.45,25.0,1
0.48,45.59,1008.44,25.0,1
0.46,45.35,1008.42,25.0,1
0.48,45.22,1008.42,25.0,1
0.5,45.12,1008.42,25.0,1
0.51,45.06,1008.42,26.0,1
0.49,45.04,1008.4,26.0,1
0.52,45.04,1008.38,26.0,1
0.53,45.05,1008.38,26.0,1
0.55,45.11,1008.38,26.0,1
0.58,45.14,1008.38,26.0,1
0.55,45.15,1008.39,26.0,1
0.5,45.11,1008.38,25.0,1
0.52,45.07,1008.39,25.0,1
0.51,45.09,1008.38,25.0,1
0.51,45.03,1008.38,25.0,1
0.5,45.02,1008.38,26.0,1
0.53,45.05,1008.37,26.0,1
0.53,45.01,1008.38,26.0,1
0.52,44.91,1008.39,26.0,1
0.53,44.89,1008.4,26.0,1
0.56,44.92,1008.38,26.0,1
0.55,44.98,1008.37,26.0,1
0.56,45.12,1008.38,26.0,1
0.58,45.24,1008.39,26.0,1
0.57,45.37,1008.39,26.0,1
0.55,45.42,1008.37,25.0,1
0.53,45.43,1008.36,25.0,1
0.54,45.45,1008.36,26.0,1
0.51,45.46,1008.38,25.0,1
0.46,45.37,1008.4,25.0,1
0.44,45.16,1008.41,25.0,1
0.45,44.98,1008.42,25.0,1
0.46,44.92,1008.42,26.0,1
0.5,44.92,1008.42,26.0,1
0.51,44.94,1008.41,26.0,1
0.5,45.01,1008.4,26.0,1
0.48,45.11,1008.39,26.0,1
0.48,45.14,1008.39,26.0,1
0.48,45.12,1008.37,26.0,1
0.48,44.98,1008.37,26.0,1
0.49,44.73,1008.38,26.0,1
0.51,44.69,1008.38,26.0,1
0.52,44.68,1008.38,26.0,1
0.53,44.71,1008.38,26.0,1
0.5,44.66,1008.4,26.0,1
0.51,44.62,1008.41,25.0,1
0.51,44.6,1008.41,26.0,1
0.55,44.64,1008.42,26.0,1
0.54,44.68,1008.43,26.0,1
0.52,44.73,1008.42,26.0,1
0.52,44.77,1008.43,26.0,1
0.53,44.78,1008.43,26.0,1
0.48,44.71,1008.44,26.0,1
0.47,44.73,1008.44,26.0,1
0.48,44.76,1008.45,26.0,1
0.52,44.79,1008.44,26.0,1
0.53,44.83,1008.44,26.0,1
0.57,44.87,1008.44,25.0,1
0.57,44.98,1008.42,24.0,1
0.54,45.11,1008.42,24.0,1
0.52,45.27,1008.41,25.0,1
0.53,45.36,1008.41,25.0,1
0.55,45.41,1008.41,25.0,1
0.57,45.49,1008.41,25.0,1
0.55,45.57,1008.43,25.0,1
0.56,45.61,1008.43,25.0,1
0.55,45.55,1008.42,24.0,1
0.53,45.41,1008.41,24.0,1
0.53,45.34,1008.4,24.0,1
0.54,45.29,1008.4,24.0,1
0.53,45.27,1008.38,24.0,1
0.57,45.34,1008.38,24.0,1
0.59,45.46,1008.38,24.0,1
0.59,45.57,1008.39,24.0,1
0.55,45.61,1008.39,24.0,1
0.53,45.59,1008.38,24.0,1
0.52,45.56,1008.38,23.0,1
0.54,45.57,1008.37,23.0,1
0.51,45.61,1008.38,23.0,1
0.53,45.6,1008.38,23.0,1
0.56,45.62,1008.37,23.0,1
0.55,45.63,1008.38,23.0,1
0.56,45.67,1008.38,22.0,1
0.56,45.74,1008.38,22.0,1
0.57,45.84,1008.39,22.0,1
0.56,45.96,1008.38,22.0,1
0.55,46.1,1008.37,21.0,1
0.53,46.23,1008.35,21.0,1
0.53,46.39,1008.34,22.0,1
0.49,46.55,1008.33,22.0,1
0.49,46.65,1008.32,22.0,1
0.49,46.79,1008.32,22.0,1
0.48,46.92,1008.32,22.0,1
0.45,47.02,1008.31,22.0,1
0.46,47.08,1008.31,22.0,1
0.48,47.11,1008.31,22.0,1
0.49,47.13,1008.3,22.0,1
0.48,47.13,1008.3,22.0,1
0.46,47.06,1008.31,22.0,1
0.5,47.0,1008.31,22.0,1
0.53,47.0,1008.31,21.0,1
0.55,47.01,1008.31,21.0,1
0.5,47.01,1008.31,21.0,1
0.49,46.91,1008.3,20.0,1
0.52,46.85,1008.29,20.0,1
0.54,46.85,1008.29,19.0,1
0.57,46.88,1008.29,19.0,1
0.57,46.93,1008.3,19.0,1
0.56,46.98,1008.31,19.0,1
0.54,47.01,1008.31,19.0,1
0.53,47.06,1008.31,19.0,1
0.54,47.11,1008.31,20.0,1
0.54,47.16,1008.31,20.0,1
0.51,47.18,1008.31,20.0,1
0.53,47.15,1008.31,20.0,1
0.53,47.12,1008.31,19.0,1
0.55,47.15,1008.31,19.0,1
0.55,47.23,1008.32,19.0,1
0.54,47.35,1008.3,20.0,1
0.5,47.41,1008.29,20.0,1
0.5,47.41,1008.29,20.0,1
0.5,47.38,1008.31,19.0,1
0.53,47.37,1008.32,19.0,1
0.53,47.37,1008.32,19.0,1
0.56,47.44,1008.3,19.0,1
0.55,47.54,1008.3,20.0,1
0.54,47.62,1008.31,20.0,1
0.51,47.66,1008.31,20.0,1
